ShortName	Item_Name	Item_Cost
LB59	LIGHT BOX 5.9 (LIGHTING JOCKEY BOX THING 1)	0
6405	CRI-AUDIO SNAKE 32x8x100'	147
KWPL	MOUSE/CORDLESS MAC AND PC KENSINGTON W/LASER POINTER	35
6547	CRI Laptop Locks	5
6545	CRI DRAPE ROYAL BLUE VELOUR 15X12	84
6544	CRI COBRA PLASMA STAND	0
1524	FLAT PANEL DISPLAY 15(4:3) ELO 1524L GRAY/TOUCHSCR	125
6542	CRI ARCHITECTURAL CKI PDS-150e POWER SUPPLY	0
6541	CRI ARCHITECTURAL CKI iColor Cove 12 LED Stip	0
6540	CRI LAPTOP SECURITY LOCK	7
PMD3	CD PLAYER MARANTZ PMD-320 SINGLE DISK (CUEABLE)	35
6539	CRI AUTOMATED VARI*LITE VL-2000 WASH	175
6538	CRI AUTOMATED VARI*LITE VL-2000 SPOT	250
CONF	FLAT PANEL MOUNT JELCO EZ-STAND CONFIDENCE MONITOR FLOOR STAND	75
6536	CRI SM 58	0
6535	CRI XLR 50'	0
6534	CRI EDISON 50'	0
6533	CRI EDISON 25'	0
6532	CRI POWERED SPEAKER	0
6531	CRI EVSxA 100+ POWER SPEAKER	0
6530	CRI AMP	0
EL33	MIC TELEX ELM-33 LAVALIER -W- P/S UNIDIRECTIONAL	40
6529	CRI Custom Speaker Cable	0
6528	CRI SPEAKER STAND	5
TLBB	TRI LITE TRUSS BOLT BOX	0
STRP	TARPS, BLUE	0
6527	CRI MOTOR HANGER BRACKET 12 - SWIVEL	0
6526	CRI 1g Ram/ ATI X800 XT Upgrade	125
6525	CRI AD-3 L21/30m-L6/30f	5
FOG	FOGGER ROSCO 1600 SMOKE MACHINE	55
FOGC	FOGGER ROSCO 1600 DMX CONTROLLER	35
6256	CRI RIGGING SETS, WIRE & HDWE.	10
FFTU	FASTFOLD TRUSS FRAME 12'X16'	0
6523	CRI BOSE 802 SPEAKER	0
TLD8	PROJECTOR LENS BARCO TLD .8:1 FIXED LENS (FLM/SLM/RLM)	250
6520	CRI BARCO 4X Fly Bar	150
6519	CRI Computer Speakers-w-Sub	85
6518	CRI Computer Speaker, Pair Bose Mediamate Black	10
TURB	HD DISK DRIVE RECORDER/PLAYER GRASS VALLEY TURBO iDDR	450
5M3F	DMX 512 ADAPTOR, 5 PIN MALE-3 PIN FEMALE	2
5F3M	DMX 512 ADAPTOR, 5 PIN FEMALE-3 PIN MALE	2
6516	CRI AUTOMATED VARI*LITE VL-3500 SPOT	425
UPS1	DIMMER ACSRY APC UPS BackUPS 1300	30
6515	CRI Automated Syncrolite 3k SX3K-2Q	0
6514	CRI FOLLOWSPOT SEAT - UNDERHANG	0
FRE9	FOGGER 7-PIN XLR REMOTE EXTENSION 100'	0
FRE7	FOGGER 7-PIN XLR REMOTE EXTENSION 75'	0
6513	CRI FOLLOWSPOT LYCIAN STARKLITE	0
6512	CRI FOGGER ACSRY RE-FAN 	45
PA6	PIPE (2) ALUMINUM 6'-0	3
PA4	PIPE (2) ALUMINUM 4'-0	2
STRC	PIPE GRIP STIRRUP, 2'-8' ADJUSTABLE CHROME	25
6511	CRI FOGGER REEL F/X DF-50 HAZER	125
BABD	FRESNEL 6 BAMBINO BARNDOOR	3
6504	CRI FASTFOLD TRUSS REAR SHEET 10.5 X 14'	165
6503	CRI FASTFOLD TRUSS FRONT SHEET 10.5 X 14'	150
6502	CRI FASTFOLD TRUSS DRESS KIT 10.5 X 14'	175
6501	CRI FASTFOLD TRUSS FRAME 10.5' X 14'	0
6505	CRI MOTOR, CHAIN P-1000 PROSTAR	0
6500	CRI FASTFOLD TRUSS FRONT SHEET 9' X 12'	125
6458	CRI WENGER 1' LEGS	0
6457	CRI WENGER PLATFORMS 4 X 8 PLATFORM	25
5608	PROJECTOR LENS LIESEGANG .8:1 FIXED LENS (dv 560 flex)	150
6447	CRI AUDIO SNAKE: 48 X 8 X 300	0
6446	CRI VGA B/O 15HD M TO RGBH&V M	0
6445	CRI VGA B/O 15HD F TO RGBH&V M 	0
6443	CRI SONY DSR 570 DVCAM CAMERA	0
6442	CRI CAMLOK 3 FEEDER SET 2 100'	0
6441	CRI CABLE RAMP 36	0
6440	CRI PIPE AND DRAPE X BAR LARGE (8')	0
6439	CRI TRUSS BOLTS	0
6438	CRI Wireless Switchable UHF Lav/HH Kit	125
6437	CRI SONY DSR-1500 DVCAM RECORDER	0
CB12	LED CKI ColorBlast 12 LED WASH LIGHT (BLACK)	80
XNL4	CRI SPEAKER CABLE NL-4 100'	0
UVR6	VCR BETACAM/SP ACSRY SONY UVR-60 TBC REMOTE CONTROLLER	25
S321	AUDIO SNAKE: 32 X 10 X 200' 	195
DCCL	DIMMER CONTROL CARD EM24-ETC L86 12 X 2.4	0
6399	CRI Projector Lens TLD5-8:1	300
408	RGBS SWITCHER 8 X 1 GRAPHIC SWITCHER EXTRON ISS 408	850
6255	CRI - SLM R 8	3500
6254	KAP'S WORK BOX	1
2924	CRI MULTI FAN-IN 6-CIRC MALE PIN	0
2789	CRI VIDEOWALL BASE 4 X 4 	400
2791	CRI VIDO WALL CUBE TOSHIBA P-4130VU	500
2792	CRI SPORTS ZOOM LENS/SONY-537	200
2793	CRI PROJECTION SCAFFOLDING	125
2794	CRI RADIO UHF GPC-300 WALKIE TALKIE	20
2795	CRI GP-300 RADIO UHF W/HEADSET	45
2796	CRI RADIO HEADSET GP-300	15
HALF	MOTOR, CHAIN 1/2 TON CM LODESTAR	175
HOD9	MOTOR, CHAIN DISTRO CABLE HOD 100'	0
EXIT	EXIT LIGHT-FIRE EXIT LIGHT	5
DMX5	DMX 512 CABLE 50' BLACK	5
DMX9	DMX 512 CABLE 100' BLACK	10
LDB1	TRUSS TOMCAT 12 TRUSS 10' BLACK LDT-10	80
LDB8	TRUSS TOMCAT 12 TRUSS 8' BLACK LDT-8	64
LDB5	TRUSS TOMCAT 12 TRUSS 5' BLACK LDT-5	40
LDB6	TRUSS TOMCAT 12 6-WAY CUBE BLACK LDCB	40
SATD	SIDE ARM/TAIL DOWN 24	0
SACC	SIDE ARM/CLAMP to CLAMP 24	0
2814	CRI PROJECTOR BARCO 808S	0
2815	CRI TEL TREE BASE	0
2816	CRI TEL TREE UPRIGHT	15
2819	CRI VCR BETACAM/SP RECORDER PVW-2850	375
2820	CRI SCREEN TRIPOD (7') 84X84	30
2821	CRI SCREEN TRIPOD (8') 96X96	25
2822	CRI SOUND SYSTEM FOR ROOM F	300
2824	CRI TWIST FEMALE TO NL4	0
2825	CRI GENERATOR 24Kw 200A	565
2829	CRI COMPAQ 90mhz, 24mb, 540hd, e-net	125
2835	CRI MIC SHURE588SD	20
2836	CRI R. STOLLE-CAMLOK ADAPT-SCCC	0
2838	CRI DRAPING SYSTEM, ADJUSTABLE, PER FOOT	9
2840	CRI RIVERVIEW 84 RETRO HR	1800
2841	CRI 3' X 4' CONFERENCE ROOM SCREEN	60
2846	CRI SCAN COMMANDER DESK	150
R674	RSG AUDIO RACK #674 (APOGEE SSM/SB SUB AMP DRIVE)	175
R675	RSG AUDIO RACK #675 (APOGEE SSM/SB SUB AMP DRIVE)	175
CS2A	CHEESEBOROUGH SWIVEL, 2 ALUMINUM	3
102G	RGBS SCAN CONVERTER SONY DSC-1024G (GENLOCK)	350
WDMX	DIMMER ACSRY RadioDMX WIRELESS DMX SYSTEM	200
AD13	30a (3) *ADAPTOR#AD-13* (L14-50/30 MALE/L21-30 FEM)	0
LLD2	WORK LITE, LITTLITE DUAL GOOSENECK-w-BASE/2-PACK CASE	0
6327	CRI-PIONEER PDP-S07 	75
6326	CRI AUTOMATED FIXTURE MAC 600	0
6324	CRI-Meyer UPJ-1P	378
5520	SALE-GAFFER TAPE WHITE	14.95
6323	CRI-Meyer M1D Sub	283.5
6253	CRI TRUSS TOMCAT 12 3-WAY CUBE SILVER LDCB	35
2882	CRI SONY DXC-151A COMPACT CAMERA	175
2884	CRI WHIRLWIND 1/4-1/4 CABLE 20'	1
2885	CRI HOTEL CHARGES $45,750NTD	0
2886	CRI NTI 4X1 KEYBOARD SWITCH	1225
2887	CRI DIMMER DESK MICROVISION FX	150
2888	CRI DIMMER DESK 13 MONITOR-MICROVISION	0
AT73	MIC AUDIO TECHNICA ATM 73/75 HEADSET/XLR INPUT	25
TD7	AC T-SHOW DISTRO# 7 (2Kw EDISON x10) & LUG BOX	75
2895	CRI POWERMAC 8500/150/64MB	650
SSAB	SCAFFOLD/ALUM SM FRAME/7'-3 BASE	0
2896	SALE-BLACK WRAP, ROLL (SALE)	27.5
SSAS	SCAFFOLD/ALUM SM FRAME/6'-6 SIDE	0
SSAF	SCAFFOLD/ALUM SM FRAME/40 SIDE	0
SSAE	SCAFFOLD/ALUM SM FRAME/9' DIAGONAL	0
SSAH	SCAFFOLD/ALUM SM FRAME/6' HORIZONTAL	0
SSAD	SCAFFOLD/ALUM SM FRAME/6' DECK	0
SSAL	SCAFFOLD/ALUM SM FRAME/6' LADDER	0
SSAJ	SCAFFOLD/ALUM SM FRAME/JACK ADJ. 3-18	0
SSAC	SCAFFOLD/ALUM SM FRAME/CASTOR 6 ADJ 11-15	0
PH88	I COM HEADSET TELEX PH 8 / PH 88	15
MS22	MIC SENNHEISER NB 2 ELM-22 HEADMIC ADAPTOR	0
2909	CRI PROJECTOR, AVI GRAPHICS 9200 W/0.9:1 LENS	3500
2910	CRI LIGHTING PACKAGE	5000
PA16	PAR 16 50W, 120V MFL SILVER	6
PA1B	PAR 16 50W, 120V MFL BLACK	6
CM31	MIC CROWN CM-311/E HEADSET	0
TGX4	MIC BEYER TGX 45.15 HEADSET	0
2916	CRI A/C CONTRACTOR FM-BARE WIRE	0
2920	CRI ELECTRICAL TAPE-PHASING	0
2921	CRI ZIP CORD	0
2922	CRI ADD-A-TAP M&F	0
VS20	RGBS ORBITER, EXTRON VS-200 CRT SAVER	50
2925	CRI TRUSS TOMCAT TRUSS BOLTS	0
AHF2	HEADPHONES STEREO AKG K-240 HEADPHONES	0
2928	CRI MULTI CABLE (75') 8 CIRCUT SOCAPEX	45
2929	CRI MULTI CABLE 6-CIRC FAN-IN MALE PIN	0
XFAN	CRI MULTI CABLE 6-CIRC FANOUT FEMALE PIN	0
2931	CRI CP-1 MR-16 STEM LAMP	7
2932	CRI VCR BETACAM BVW-65 (4CH AUD/DT)	475
2933	CRI LOUDSPEAKER JBL CONTROL1-WHITE	40
2934	CRI PROJECTOR, DATA NEC MT-1000 (1072X768)	475
2936	CRI STRIPLIGHT L and E Mini Strip/3 circ.	25
AHF4	HEADPHONES STEREO SENNHEISER HD-445	0
2938	CRI AUDIO SNAKE 8X1X150'	150
EETB	ELECTRICAL TAPE BLACK	0
2940	CRI - SIGMA TRANSCODER	75
2941	CRI RADIO'S, MTX-8000 PACKAGE	100
2943	CRI NEC 4PG MONITOR	295
2944	CRI PIC-3 COMPUTER/CLOCK CARD	0
2945	CRI ELECTROSONIC 1553 CONTROLLER	75
2946	CRI PODIUM, TABLE TOP POWERED	75
3590	RGBS SWITCHER REMOTE IN-3590, 25' FOR ALL IN-4/6XX SWITCHER	0
2949	CRI 3 X 4 VIDEO WALL & SOUND SYSTEM	27080
2950	CRI 29 DATA MONITORS	1200
2951	CRI INTERFACE	200
2952	CRI HANGING BRACKET	233.33
6397	CRI TOMCAT 12 6-WAY CUBE SILVER LDCB	30
6396	CRI BIG DOG PROJECTOR	2500
6395	CRI AUDIO SNAKE: 6 X 0 X 75'	35
6394	CRI AUDIO SNAKE: 32 X 10 X 200'	195
PDS7	LED CKI PDS-750 TR POWER SUPPLY (ColorBlast)	45
6389	CRI PLASMA STAND SHELF PSD-SHB	40
6388	CRI FASTFOLD TRUSS REAR 15' X 20'	250
S124	AUDIO SNAKE: 12 X 4 X 150' POWERED SNAKE	65
6386	CRI BTR-500 I-COM	85
6385	CRI AUDIO RACK APOGEE AE-5 AMP DRIVE	180
6384	CRI AUDIO SNAKE 400'	100
PZM3	MIC CROWN PZM-30D	25
AE5Y	LOUDSPEAKER ACSRY APOGEE AE-5 YOKE	0
AE3Y	LOUDSPEAKER ACSRY APOGEE AE-3 TALL YOKE	0
AE2Y	LOUDSPEAKER ACSRY APOGEE AE-2 DUAL YOKE	0
CYC	FAR CYC L&E BROAD CYC (1) WINDOW -w- C/F/S	18
3044	CRI COMPAC 7 SPEAKER	0
3045	CRI MONSTERCABLE DUAL RCA-RCA	0
XRFS	CRI RF SPLITTER	0
3047	CRI BLOCK AND FALL	15
PS1	PIPE (1.5) 1'-0	0.5
PS3T	PIPE (1.5) 3-WAY T COUPLER	0.5
3051	CRI BLACKWRAP, BLACK FOIL	0
3052	CRI FAR CYC L&E BROAD CYC (1) WINDOW	12
3053	CRI MULTI CABLE (25') 6 CIRCUIT SOCAPEX	10
3054	CRI SAFETY CABLE	0
3055	CRI PLYWOOD DECK 4 X 8	0
AEQ1	EQ/CL RACK STEREO 1/3 EQ & CL (YAMAHA Q2031A & DBX-166A) 	85
3058	CRI AB POWER AMP	100
3059	CRI OLD RACK#606	50
3060	CRI EXTRON CROSSPOINT 84 MATRIX	1200
3061	CRI SONY 35 MONITOR	0
3063	CRI SHURE SM-87 MIC	100
3068	CRI PROJECTOR DATA BARCO 9200	3000
3069	CRI CAMCORDER TRIPOD	25
1500	VCR DVCAM RECORDER SONY DSR-1500A	350
6497	CRI LADDER 12' A FRAME	50
6496	CRI BETACAM/SP REC UVW-1800	350
6495	CRI UVW-1800	30
TCG	TIMECODE GENERATOR/READER HORITA TG-50	25
CF2A	CHEESEBOROUGH FIXED, 2 ALUMINUM	3
6490	CRI Barco 2x Fly Bar	150
3526	VIDEO SWITCHER (S-VIDEO/VIDEO) 6 x 1 IN-3526 	30
6489	CRI HDTV 83x144 Fastfold Screen 	200
6488	CRI Barco Fibre Optic Package	350
6487	CRI VGA TO CAT5 RECEIVER	50
6486	CRI VGA TO CAT5 TRANSMITTER	50
B87	MIC SHURE BETA 87	35
6485	CRI RTS I COM SYSTEM	250
DVIE	DVI EXTENDER KIT GEFEN DVI-1000HD, 300'	150
DVIW	DVI SWITCHER 4 X 1 GEFEN DVI-441 w/REMOTE	50
DVI2	DVI D/A 1 X 2 GEFEN DVI-144	35
6480	CRI I COM WIRELESS BTR-800 4 RACK	650
6477	CRI FLYRACK VIDEO SWITCH SYSTEM	1500
DPA5	PROJECTOR ACSRY BARCO SLM/RLM RIGGING ADAPTER PLATE	0
RLM	PROJECTOR DATA BARCO RLM R6+ DLP	1200
RAMP	CABLE RAMP 36 ORANGE	10
END	CABLE RAMP END ORANGE (PAIR)	2
R678	RSG AUDIO RACK #678 (APOGEE SSM/QSC 1.8 AMP DRIVE)	120
6468	CRI LECTERN GRAPHIC	1
6467	CRI FLAT PANEL DISPLAY 50 PDP-V501	500
FFX6	FASTFOLD DELUXE FRAME 6'X8'	0
FRX6	FASTFOLD DELUXE REAR SHEET 6'X8'	175
6463	CRI PROJECTOR LCD LIESEGANG dv560	700
TSV5	SCREEN TRIPOD  (5') 43X57 BLACK CARPET W/SKIRT	25
R679	RSG AUDIO RACK #679 (APOGEE SSM/MA-1200 AMP DRIVE)	120
ANSS	ANCHOR AN-1001 SATELITE SPEAKER (BLACK)	35
MPRO	CPU Apple MPro Intel Dual@2.66gz/SuperD/#101-102/250HD/6GB	175
SPTO	PODIUM PRESIDENTIAL TABLETOP-LITE OAK FINISH	55
E250	DIMMER DESK DMX ETC EXPRESS 250	350
SDCS	DIMMER CARD SPARE-ETC SENSOR D20, 2.4K X 2 AARON	0
ABIG	DIMMER PACK DMX/3/ETC SENSOR 24 X 2.4K-ABIGAIL	300
3154	CRI Test Generator(Suction Cup)	0
3155	CRI BARCO .9 LENS	150
3157	CRI AMP SHURE FP-16 DISTRIBUTION AMP	40
3158	CRI PRESS POOL 1X10 XLR AUDIO POOL	30
3159	CRI MONITOR 40 PIONEER PLASMA DISPLAY	750
3160	CRI DISC MINIDISC 74	4
3161	CRI VTR PANASONIC AG-7750 SVHS	325
3162	CRI VTR PANASONIC AG-7750 SVHS	325
3163	CRI VIDEO DECODER EXTRON CVC 100	75
3164	CRI VIDEO DECODER EXTRON CVC 100	75
3165	CRI AMP CARVER  PM 1.5	75
3182	CRI VTR PANASONIC AJ-D580 W/HD PROC.	4800
3167	CRI WENGER CONNECTORS	0
LP62	DIMMER DESK ANALOG / DMX LEPRECON LP-624 24x2 MEMORY	100
3170	CRI VTR BETA SONY DVW-A500 DIGITAL	1000
3172	CRI YELLO/BLACK STRIPE CAUTION TAPE	12
6252	CRI TRUSS TOMCAT 12 5-WAY CUBE SILVER LDCB	35
6251	CRI TRUSS TOMCAT 12 TRUSS 10' SILVER LDT-10	70
6250	CRI TRUSS TOMCAT 12 TRUSS 5' SILVER LDT-5	35
RUTE	RIGGING, UNISTRUT TRACK TAMER W/EYEBOLT KIT (SET OF 4)	12
3181	CRI POWER CONVERTER, STEP DOWN 	200
3179	CRI TBC FOR-A FA310	175
3180	CRI SPX 90 SOUND EFFECTS PROCESSOR	75
6290	CRI FASTFOLD TRUSS FRAME 12'X16'	150
6289	CRI TRUSS 7' SPANDEX SLEEVE, WHITE	50
6288	CRI BARCO LED FIBRE DISTRO	500
MFOT	MULTI FAN-OUT (12') FEMALE PIN to MALE VEAM	18
6287	CRI BARCO i8 LED TILE	350
6282	STEVER'S TOOL KIT	0
6281	CRI FLAT PANEL DISPLAY 50 PDP-V502	500
6280	CRI Barco ILite Ground Bar 2x	150
NET1	NETWORK CABLE RJ-45 ETHERNET 15'	0
PDX4	PIPE AND DRAPE X BAR FOH (4')  TDS47	5
PDX3	PIPE AND DRAPE X BAR FOH (3')  TDS35	5
6273	CRI PROJECTOR ACCY QLD .8:1 LENS (ELM)	250
6272	CRI PAR SOURCE-4 TOP HAT, CONCENTRIC RING	0
6270	CRI MULTI CABLE (100') 6 CIRCUIT SOCAPEX	0
6269	CRI MULTI CABLE (50') 6 CIRCUIT SOCAPEX	0
DA21	RGBS D/A (H&V) 1 X 2 EXTRON DA2 RGBHV	35
6268	CRI Ellipsoidal Source-4, 50 DEG.	18
L219	30a (3) L21-30 M/F DISTRO CABLE 100'	0
L215	30a (3) L21-30 M/F DISTRO CABLE 50'	0
L212	30a (3) L21-30 M/F DISTRO CABLE 25'	0
L211	30a (3) L21-30 M/F DISTRO CABLE 10'	0
L141	20a (1) L14-20 M/F DISTRO CABLE 10'	0
SDPB	AC STAGING DROP PANEL # B (2Kw EDISON x6)	25
SDPC	AC STAGING DROP PANEL # C (PROJECTION SLM/RLM)	25
SBPA	AC STAGING BRANCH PANEL #A  (3 &1 INPUT)	75
6267	MOUNT PROJECTOR EPSON 7600	0
6266	CRI Pin Calbe twofer	1
6265	CRI Pin Cable 5'	0
6264	CRI Pin Cable 10'	0
SSPX	AC STAGING SERVICE PANEL #X (CAMLOK TO 4ct 30a 3¿)	150
TIPD	AC STAGING TAIL INPUT PANEL # D (NEMA L21-30R Lug Box)	0
6263	CRI projector Lens 2-2.8:1 SLM	300
6262	CRI TRUSS TOMCAT 12 TRUSS 15' SILVER LDT-15	105
6261	CRI ELLIPSOIDAL SOURCE-4 BARREL 26 DEG.	0
LDB2	TRUSS TOMCAT 12 TRUSS 2' BLACK LDT-2	16
DM35	DMX 512 CABLE, 3-PIN 50'	5
DM32	DMX 512 CABLE, 3-PIN 25'	3
6260	CRI RIGGING TRUSS ANGEL	0
6259	CRI TRUSS TOMCAT 20.5 X 5'	0
6258	CRI TRUSS TOMCAT TRUSS 2' LDT-2	8
780S	PROJECTOR LCD EPSON 7800P w/SHORT LENS 1.32-1.8:1	400
3241	CRI SONY D-30 CCU CABLE 100m	0
3242	CRI SONY D-30 CCU UNIT	125
3240	CRI SLIDE CUING SYSTEM	75
UPS6	DIMMER ACSRY APC UPS BackUPS 650	30
3800	COMPUTER PRINTER HP COLOR LASERJET 3800N/3505N	125
3247	CRI STRAND VISE, 1/8	25
3248	CRI PIPE 16' SLEEVED	10
3249	CRI WIRED PHONE W/HEADSET	75
3250	CRI PROJECTOR LCD ELECTROHOME EPS800	475
XOHP	CRI OVERHEAD PROJECTOR	45
XVHS	CRI VCR VHS PLAYER	75
XTMP	CRI TOSHIBA TMP-100 PROCESSOR	750
3255	CRI BARCO 1.2 LENS	150
XRDF	CRI 2.5K RDF Effects unit	450
3257	CRI DIMMER DESK EXPRESS 250	150
3258	CRI EXTRON RGBHV 75 (THIN RGB)	0
XVVE	CRI VIDEO VISUALIZER ELMO EV-500 AF	225
3265	CRI VARI*LITE VL-6 APS MULT, 60'	0
3266	CRI VARI*LITE VL-6 APS MULT, 30'	0
3267	CRI VARI*LITE APS MINI DISCONNECT	0
3268	CRI DIMMER DESK EXPRESSION 2X	250
3270	CRI DMX 5-PIN 10'	0
R633	RSG AUDIO RACK #633 (APOGEE AE-3/SUB AMP DRIVE)	165
R634	RSG AUDIO RACK #634 (APOGEE AE-3/SUB AMP DRIVE)	165
R623	RSG AUDIO RACK #623 (APOGEE AE-2 AMP DRIVE)	150
3277	CRI SONY D-30 CAMERA STUDIO KIT	300
3279	CRI SPRAY PAINT-SATIN BLACK	6.5
3741	CRI MONITOR 13 COLOR TV (RF INPUT)	85
3281	CRI MATERIALS	95
3282	CRI OVERHEAD PEN SET	0
3283	CRI S-VIDEO CABLE, 15'	28.2
3284	CRI VGA CORD, M-M, 15'	105
3285	CRI LITTLITE L4/12 & BASE UNIT	58.5
3286	CRI LITTLITE Q5 SPARE LAMPS	0
3287	CRI FLITEFORM CUSTOM CASE -W- WHEELS	1785
3288	CRI HARDWARE-5/16x3 CARRAIGE BOLT/NUTS	0
3290	CRI TRUSS TOMCAT 12 TRUSS 10' BLACK LDT-10	80
3291	CRI TRUSS TOMCAT TRUSS PIVOT BLOCK BLACK	50
3292	CRI TRUSS TOMCAT 12 TRUSS 4-WAY CUBE BLACK LDT-CB	40
PDAT	DIMMER AUTOTRANSFORMER 10amp, 120/140volt	25
3296	CRI PROJECTOR ACSRY BDLC 1.2:1 LENS	150
R501	RSG AUDIO RACK #501 (MINI FOH)	150
3299	CRI XP-21	125
3300	CRI PROJECTOR PANI 2.5kw SCENIC	350
3301	CRI PROJECTOR PANI POWER DISTRO PACKAGE	0
3302	CRI VARI*LITE PIN FANOUT-SMART MULT	0
3303	CRI VARI*LITE PIN FANIN-APS RACK	0
3304	CRI MINI DISC RECORDER/PLAYER	45
3305	CRI AMPLIFIER, AB1200	75
3306	CRI FASTFOLD FRAME 9'x12'	0
3307	CRI YAMAHA DIGITAL DELAY D10-30	75
3308	CRI CAMERA 8MM SONY	75
3312	CRI FASTFOLD BLACK DRESS 9'X12'	65
3313	CRI SACHTLER TRIPOD	75
FDFZ	FLAT, 15'6 X 19'6 SCREEN SURROUND,(12X16) GREY TOP	350
FDFY	FLAT, 15'6 X 19'6 SCREEN SURROUND,(12X16) GREY BOTTOM	0
FDFX	FLAT, 15'6 X 19'6 SCREEN SURROUND, (12X16) GREY SIDES	0
3317	CRI PROCESSOR/AMPLIFIER AE-5	75
3319	CRI OVERHEAD 7000 LUMEN	125
3320	CRI MONITOR 4-MIX AUDIO PACKAGE	250
3321	CRI FOLLOWSPOT SATELLITE II	100
3322	CRI DIMMER PACK SENSOR 12X2.4K	100
3323	CRI SM 58 WINDSCREEN	0
5076	CRI MIXER SAMSON MIXPAD	35
3325	CRI SUN CRV	0
3326	CRI TECHNOBEAM AUTOMATED LUMINAIRE	150
OPTL	DIMMER ACSRY LEPRECON 1x4 OPTO SPLITTER LDMX-4	45
3334	CRI LASER POINTER	25
4938	CRI Power Generators	4000
3336	CRI 10.5X14 SCREEN SURROUND	0
3337	CRI AUDIO-VISUAL SERVICES	837.22
PS08	COLOR CHANGER CHROMA-Q POWER SUPPLY PSU-08	0
3340	CRI JON HAWORTH 1545 MONITOR WEDGE	25
3341	CRI SYMANTEC IN-FOCUS LCD PROJECTOR	0
3342	CRI LCD PROJECTOR	575
3343	CRI SAFLOK STAND & SKIRT	12
3344	CRI EASEL FLIP CHART	15
3346	CRI SANDBAGS	3
3348	CRI TRIPOD-MEDIUM	0
3349	CRI JON HAWORTH CARVER PM 1.5	0
3350	CRI JON HAWORTH SPEAKER STAND	0
3352	CRI SONY PVM-1351Q MONITOR	50
3357	CRI SONY BVV5 BETA-SP VTR	275
3358	CRI SACHTLER DOLLY WHEELS	35
3359	CRI SONY UVW 1200 BETA-SP PLYR	275
3361	CRI CAMERA SWITCHER PACKAGE includes:	800
3362	CRI SCREEN TRIPOD (6') 70x70 GREY	27
HBDH	MOTOR, RIGGING HARDWARE BOX DUAL (1/2 TON)	20
3366	CRI CAMERA CONTROL UNIT, DXC D30	75
3367	CRI WAY TO HANG A-80'S OFF TRUSS	0
A70V	AUDIO TRANSFORMER 70v (8½-70v)	0
6832	CRI AUTOMATED FIXTURE MAC 2000 PROFILE	350
MTBS	MIC STAND TABLE, ADJUSTABLE SILVER	2
MGS6	MIC STAND GOOSENECK SILVER 6	0.5
3385	CRI CHEESEBOROUGH 2 SWIVEL	1
3390	CRI CAMERA LENS, FUJI 55X16:1 SPORT	225
3391	CRI CAMERA TRIPOD SACHTLER 33	35
3392	CRI FASTFOLD FRAME 15' X 20'	0
3396	CRI AMPLIFIER AE-5 COMBO	35
3397	CRI JOEL'S LAPTOP PC	0
3398	CRI CAMLOK TAIL SET 4/	0
3399	CRI MOLEFAY 8-LIGHT FLOOD UNIT	45
3402	CRI DIMMER DESK AVOLITES PEARL 2000	0
3403	CRI FALL PROTECTION/ROPE LADDER	45
3404	CRI SONY 26 PIN CCU CABLE 30m M/F	0
DMX2	DMX 512 CABLE 25' BLACK	3
DMX1	DMX 512 CABLE 10' BLACK	2
3407	CRI CRV RECORDER/PLAYER SONY LVR-3000N	750
3408	CRI CYBERLIGHT LCDS CONTROLLER	50
3409	CRI CABLE PACKAGE	175
3410	CRI TELEPHONE INTERFACE GENTNER	75
CMC4	MOTOR, CHAIN CONTROL DISTRO, 4-WAY w/TAIL SET	0
CMR4	MOTOR, CHAIN DISTRO REMOTE CONTROL 4-WAY, 10'	0
HOD5	MOTOR, CHAIN DISTRO CABLE HOD 50'	0
3417	CRI SHACKLE 1/2	0
SFD	AC STAGING FUSED DISCONNECT, 3 CAMLOK 5W 125/208V	50
DSCH	CONTRACTOR SERVICE DISCONNECTADAPTER #H (Cntcr.- Camlok)	0
SCSS	AC STAGING CAMLOK SUBPANEL #S, 3 CAMLOK to LUGBOX	25
3421	CRI CYBERLIGHT POWER DISTRO	25
3422	CRI CAMERA DXC-537 W/LENS	0
3423	CRI S-VHS DECK SVO-9600	0
OM2	MPEG RECORDER/PLAYER OMEGADECK (DUAL DISK)	750
3425	CRI TBC SONY MPU-F100 FRAME BUFFER	75
3427	CRI OVERHEAD 1900 LUMEN	25
3429	CRI LOUDSPEAKER APOGEE AE-7	110
3430	CRI AUDIO PROCESSOR APOGEE AE-7RV	40
3431	CRI LOUDSPEAKER APOGEE AE-7SB SUBWFR	70
FDFV	FLAT, 12' X 16' SCREEN SURROUND, (10.5 X 14) BLACK TOP	300
FDFT	FLAT, 12' X 16' SCREEN SURROUND, (10.5 X 14) BLACK BOTTOM	0
FDFU	FLAT, 12' X 16' SCREEN SURROUND, (10.5 X 14) BLACK SIDES	0
SFJ9	FLAT, 16' JACK BRACE	0
SFL8	FLAT, 4' X 8' X 3.5 BLACK SOFT	30
SFD2	FLAT, 2' X 8' X 3.5 DARK GREY SOFT	15
3438	CRI RGBS 16 X 16 MATRIX SWITCHER	0
3443	CRI CAMERA CONTROL CABLE, 100M	0
3446	CRI MOUSE WIRELESS PC	110
3447	CRI CAMERA CONTROL CABLE, 25'	0
GYRO	MOUSE/CORDLESS MAC AND PC GYROPOINT PRO-II	30
3450	CRI Tandberg Videoconference Syst	750
